Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201200000001,0,07,000,00,1,7,16,A01
201200000002,0,07,000,00,2,3,16,A01
201200000002,0,33,000,00,2,8,01,B02
201200000003,0,07,000,00,2,1,01,C03
201200000003,0,07,000,00,2,8,01,B02
201200000003,0,33,000,00,2,3,13,A01
201200000004,0,07,000,00,2,2,15,A01
201200000004,0,30,000,00,2,1,01,B02
201200000005,0,07,000,00,2,1,17,A01
201200000005,0,38,000,00,2,3,01,B02
201200000006,0,07,000,00,1,2,01,A01
201200000007,0,07,000,00,1,2,01,A01
201200000008,0,07,000,00,1,2,01,A01
201200000009,0,07,000,00,2,5,02,B02
201200000009,0,33,000,00,2,1,02,A01
201200000010,0,07,000,06,0,1,14,A01
201200000011,0,33,000,00,2,7,17,A01
201200000011,0,07,000,00,2,8,17,B02
201200000012,0,30,000,00,2,1,01,B02
201200000012,0,07,000,00,2,2,16,A01
201200000013,0,07,000,00,1,3,01,A01
201200000014,0,21,000,00,2,1,01,B02
201200000014,0,07,000,00,2,1,13,A01
201200000015,0,33,000,03,0,1,01,A01
201200000016,0,33,000,00,2,1,17,B02
201200000016,0,07,000,00,0,8,10,A01
201200000017,0,31,000,00,2,1,01,A01
201200000017,0,07,000,00,0,3,01,B02
201200000018,0,33,000,06,0,1,01,A01
201200000019,0,17,000,00,2,3,15,B02
201200000019,0,03,000,00,2,7,17,A01
201200000020,0,14,000,06,0,1,01,A01
201200000021,0,33,000,00,2,7,01,A01
201200000022,0,07,000,02,0,2,01,A01
201200000023,0,07,000,00,2,1,01,A01
201200000023,0,14,000,00,2,8,00,B02
201200000024,0,03,000,00,2,3,01,B02
201200000024,0,07,000,00,2,3,01,A01
201200000025,0,33,000,13,0,1,01,A01
201200000025,0,07,000,00,0,0,15,B02
201200000026,1,07,000,00,2,5,15,A01
201200000026,2,33,000,00,2,1,01,B02
201200000027,0,07,000,00,2,7,15,A01
201200000028,0,07,000,00,2,3,15,B02
201200000028,0,02,000,00,2,8,17,A01
201200000029,0,07,000,00,2,7,17,A01
201200000029,0,01,000,00,2,8,15,B02
201200000030,0,01,000,01,0,1,01,A01
201200000031,0,07,000,06,0,8,01,A01
201200000032,0,07,000,00,0,3,15,A01
201200000032,0,02,000,00,2,1,01,B02
201200000033,0,07,000,00,2,3,10,A01
201200000033,0,07,000,00,2,2,21,B02
201200000034,0,07,000,08,0,1,00,A01
201200000035,0,07,000,13,0,1,01,A01
201200000036,0,01,000,00,2,8,01,B02
201200000036,0,21,000,00,2,5,01,A01
201200000037,0,07,000,00,0,0,01,A01
201200000038,0,07,000,08,0,2,01,A01
201200000039,0,31,000,00,2,1,01,A01
201200000039,0,07,000,00,2,2,01,B02
201200000040,0,33,000,03,2,3,02,A01
201200000040,0,10,000,00,2,5,02,B02
201200000041,0,02,000,00,2,1,18,A01
201200000041,0,10,000,00,9,2,16,B02
201200000042,0,07,000,00,1,3,01,A01
201200000043,0,07,000,13,0,1,01,A01
201200000044,0,07,000,00,1,0,01,A01
201200000045,0,07,000,00,1,2,01,A01
201200000046,0,07,000,00,2,3,01,A01
201200000046,0,01,000,00,2,1,15,B02
201200000047,0,07,000,00,2,2,15,A01
201200000047,0,07,000,00,2,1,01,B02
201200000048,0,07,000,00,2,2,13,A01
201200000048,0,07,000,00,2,2,13,B02
201200000049,0,02,000,14,0,1,01,A01
201200000050,0,10,000,13,0,1,01,A01
201200000051,0,10,000,00,2,2,01,B02
201200000051,0,07,000,00,2,1,13,A01
201200000052,0,33,000,00,2,8,01,A01
201200000053,0,33,000,00,2,1,17,A01
201200000053,0,07,000,00,2,3,15,B02
201200000054,0,07,000,00,0,5,16,A01
201200000054,0,02,000,00,2,1,01,B02
201200000055,0,07,000,00,2,4,01,A01
201200000055,0,07,000,00,2,1,01,B02
