Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201000000001,3,39,,,2,02,0,0,0,1,1,000,060,1,0,1,00
201000000002,3,39,,,2,00,0,0,0,1,1,000,000,1,0,1,00
201000000003,3,41,2,,2,02,0,0,0,1,1,000,061,1,0,1,00
201000000004,3,39,,,2,02,0,0,0,1,1,000,068,1,0,1,00
201000000005,3,239,,,2,01,0,0,0,1,1,000,000,1,0,1,99
201000000006,2,47,,,3,00,0,0,0,1,1,000,000,1,0,1,99
201000000007,3,947,,,2,02,0,0,0,1,1,000,070,1,0,1,00
201000000008,2,41,,,3,02,0,0,0,1,1,010,070,1,0,1,00
201000000009,3,947,,,2,02,0,0,0,1,1,000,080,1,0,1,00
201000000010,2,41,,,2,00,1,900,0,1,1,000,144,1,5,1,00
201000000011,3,41,,,2,00,0,0,0,1,4,000,000,1,5,1,99
201000000012,9,0,,,2,00,0,0,0,1,1,000,070,1,0,1,03
201000000013,2,41,,,3,04,0,0,0,1,3,000,000,2,0,1,00
201000000014,3,141,,,2,00,0,0,0,1,3,000,068,5,0,3,00
201000000015,3,94,,,2,02,0,0,0,1,1,000,065,1,0,4,99
201000000016,3,145,,,2,00,0,0,0,0,1,000,060,1,0,1,00
201000000017,4,0,,,2,00,0,0,0,1,1,000,000,1,0,1,99
201000000018,9,0,,,2,02,0,0,0,1,0,000,065,1,5,1,99
201000000019,4,0,,,2,02,0,0,0,1,1,000,055,1,0,1,00
201000000020,3,549,,,0,00,0,0,0,1,1,000,098,1,0,1,99
201000000021,3,128,,,2,02,0,0,0,1,4,000,070,2,0,3,03
201000000022,3,19,,,2,02,0,0,0,1,1,000,080,1,0,0,99
201000000023,3,954,,,2,00,0,0,0,1,1,000,058,1,0,1,00
201000000024,3,8,,,2,02,0,0,0,1,3,000,075,1,0,1,00
201000000025,3,354,,,2,02,0,952,0,1,1,000,075,2,0,1,99
201000000026,3,17,,,2,01,0,0,0,1,1,000,000,1,0,1,00
201000000027,4,3,,,2,02,0,0,0,1,1,000,035,1,0,1,99
201000000028,3,300,,,2,02,15,400,0,2,3,000,085,1,0,1,99
201000000029,3,3,3,,2,02,22,920,0,1,1,000,061,2,0,1,99
201000000030,3,46,,,2,02,0,0,0,1,3,000,060,2,0,1,00
201000000031,3,46,,,2,00,3,500,0,0,1,000,058,2,0,3,99
201000000032,3,26,,,2,02,0,0,0,1,1,000,000,1,0,1,99
201000000033,3,916,,,2,02,33,800,0,1,1,000,070,1,0,1,00
201000000034,3,18,,,2,02,0,0,0,1,1,000,000,1,0,1,00
201000000035,3,17,,,2,00,33,400,1,1,1,000,100,1,0,1,00
201000000036,3,17,,,2,02,0,0,0,1,1,000,060,1,0,1,00
201000000037,3,928,,,2,02,2,300,0,1,1,000,065,1,0,1,00
201000000038,3,55,,,2,02,0,0,0,0,4,090,000,1,0,0,00
201000000039,3,916,,,2,02,36,358,0,1,1,000,071,1,0,3,99
201000000040,3,106,,,2,00,0,0,0,0,3,000,065,1,0,1,00
201000000041,3,138,,,2,00,0,0,0,1,1,000,063,1,0,1,00
201000000042,3,106,,,2,02,0,0,0,1,1,000,057,1,0,1,99
