Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201300000001,3,39,,,2,02,10,910,0,1,1,000,061,1,0,1,99
201300000002,3,41,,,3,04,6,400,0,1,1,012,055,1,0,1,99
201300000003,3,145,,,2,02,7,500,0,1,4,000,064,1,0,1,99
201300000004,3,145,,,2,00,3,750,0,1,4,036,065,1,0,1,99
201300000005,4,0,,,2,02,0,0,0,1,1,000,060,1,0,1,99
201300000006,3,145,,,2,02,7,300,0,0,4,000,064,1,0,1,00
201300000007,2,41,,,3,00,10,550,0,0,2,030,080,1,0,1,00
201300000008,3,22,,,2,00,10,800,0,1,1,049,000,2,0,3,99
201300000009,2,41,,,1,02,5,200,0,0,1,005,080,1,0,1,00
201300000010,3,641,,,2,00,2,250,0,1,0,085,099,1,5,1,99
201300000011,3,641,,,1,00,0,0,0,1,1,000,108,2,0,1,99
201300000012,3,917,,,2,02,22,550,1,1,3,060,060,2,0,3,00
201300000013,3,549,,,2,02,11,300,1,1,1,000,072,1,0,1,00
201300000014,3,549,,,4,01,12,750,0,1,1,000,040,1,0,1,00
201300000015,4,0,,,2,02,0,0,0,1,1,000,057,7,0,1,03
201300000016,4,1,,,2,02,0,0,0,1,1,000,060,1,0,1,99
201300000017,4,2,,,0,00,0,0,0,0,0,000,060,1,0,1,00
201300000018,3,354,,,2,02,1,300,0,1,1,000,073,1,0,3,00
201300000019,3,54,,B,2,01,0,100,0,1,2,054,130,1,0,4,00
201300000020,3,54,,,2,00,2,250,0,1,1,000,060,1,0,1,99
201300000021,3,54,,,2,02,0,550,0,1,2,058,000,1,0,4,99
201300000022,4,0,,,1,01,0,0,3,0,2,000,100,1,0,4,03
201300000023,3,954,,,2,02,5,0,0,1,1,066,000,7,0,3,00
201300000024,3,110,,,2,02,5,243,0,0,1,050,155,1,5,1,00
201300000025,3,55,,,2,02,13,690,0,1,1,000,054,1,0,3,00
201300000026,3,417,,,2,02,0,200,0,0,2,000,000,1,0,1,00
201300000027,3,928,,,2,02,9,90,0,3,1,062,000,1,0,1,00
201300000028,3,916,,,2,00,10,0,2,3,1,000,065,2,0,1,99
201300000029,3,642,,,2,02,16,850,0,1,1,000,060,2,0,1,00
201300000030,3,916,,,2,01,9,950,2,2,1,000,060,1,0,5,00
201300000031,3,916,,,2,02,4,400,0,0,1,000,070,1,0,1,99
201300000032,3,947,,,2,02,17,530,0,1,1,000,070,1,0,3,99
201300000033,3,642,,,2,00,25,275,0,1,2,000,085,1,0,1,00
201300000034,3,238,,,2,02,3,200,0,0,1,000,051,1,0,3,00
201300000035,3,255,,,2,02,1,900,0,1,1,000,070,1,0,3,99
201300000036,3,943,,,2,00,58,650,0,0,1,000,077,1,0,1,00
201300000037,3,933,,,2,02,35,500,0,1,1,000,060,1,0,1,00
201300000038,4,0,,,2,02,0,0,0,1,4,000,032,1,0,1,00
201300000039,3,53,,,2,00,6,50,0,1,1,027,055,6,0,1,99
201300000040,3,18,,,2,02,20,650,0,1,1,000,064,1,0,1,99
201300000041,3,38,,,2,02,13,850,0,1,1,000,060,1,0,1,99
201300000042,3,322,,,2,00,0,200,0,1,1,000,000,1,0,1,99
201300000043,3,77,,,2,02,4,375,0,1,1,000,040,1,0,3,99
201300000044,3,947,,,2,00,1,500,0,1,1,000,060,2,0,1,03
201300000045,3,77,,,2,02,0,0,0,1,1,000,000,1,0,0,99
201300000046,3,277,,,2,02,0,875,0,4,3,000,035,2,0,1,99
201300000047,4,0,,,2,02,0,0,0,1,3,000,038,2,0,1,99
201300000048,3,947,,,2,02,9,900,0,1,1,000,060,1,0,1,99
201300000049,3,946,,,2,02,3,125,0,1,4,000,065,1,0,1,99
201300000050,4,0,,,1,00,0,0,2,0,2,000,060,1,0,4,99
201300000051,4,0,,,2,02,0,0,0,1,1,000,100,1,0,1,03
201300000052,3,138,,,2,02,11,80,0,0,1,000,061,2,0,1,99
201300000053,3,948,,,2,01,12,0,0,1,2,000,076,7,0,3,00
201300000054,3,933,,,2,02,44,0,0,2,4,000,060,2,0,1,00
201300000055,3,37,,,0,00,23,464,0,1,2,000,000,7,0,1,99
201300000056,4,0,,,2,02,0,0,0,2,1,000,058,1,0,1,00
