Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201700000001,0,07,000,00,2,3,09,B01
201700000001,0,10,000,00,2,3,13,A01
201700000002,0,07,000,00,0,1,16,A01
201700000002,0,01,000,00,0,7,01,B01
201700000003,0,10,000,00,2,1,01,C01
201700000003,0,07,000,00,2,3,13,A01
201700000003,0,07,000,00,2,6,01,B01
201700000004,0,07,000,06,0,1,01,A01
201700000005,0,33,000,01,2,1,01,B01
201700000005,0,07,000,00,2,5,19,A01
201700000006,0,34,000,12,0,1,17,A01
201700000007,0,02,000,01,0,1,13,A01
201700000007,0,07,000,00,0,0,01,B01
201700000008,0,07,000,00,0,1,19,B01
201700000008,0,33,000,00,0,1,01,A01
201700000009,0,07,000,02,0,4,02,A01
201700000010,1,33,000,00,0,0,01,A01
201700000011,2,17,000,00,1,2,01,A01
201700000012,0,33,000,13,0,1,01,A01
201700000013,0,07,000,00,2,3,00,A01
201700000013,0,14,000,00,2,3,00,B01
201700000014,0,07,000,00,2,1,01,A01
201700000014,0,07,000,00,2,1,05,B01
201700000015,0,31,000,00,0,8,02,A01
201700000016,0,10,000,00,2,8,17,B01
201700000016,0,33,000,00,2,7,17,A01
201700000016,0,14,000,00,2,3,01,C01
201700000017,1,07,000,00,1,2,01,A01
201700000018,0,07,000,00,0,3,15,B01
201700000018,0,33,000,00,2,1,17,A01
201700000019,0,01,000,00,2,2,02,B01
201700000019,0,07,000,00,2,8,02,A01
201700000020,0,33,000,00,2,1,17,A01
201700000020,0,07,000,00,2,8,15,B01
201700000021,0,07,000,00,0,7,19,A01
201700000021,1,07,000,00,2,1,01,B01
201700000021,0,07,000,00,2,2,23,C01
201700000022,0,01,000,00,2,1,01,B01
201700000022,0,07,000,00,2,6,19,A01
201700000023,2,07,000,00,0,6,15,B01
201700000023,2,02,000,00,2,1,17,A01
201700000024,1,07,000,13,0,1,19,A01
201700000025,2,07,000,02,0,1,01,A01
201700000026,1,31,000,00,2,1,01,A01
201700000026,2,07,000,00,0,8,15,B01
201700000027,2,07,000,00,0,1,00,A01
201700000028,0,30,000,00,2,5,15,A01
201700000028,0,07,000,00,2,2,01,B01
201700000029,1,33,000,13,0,1,14,A01
201700000030,1,07,000,00,1,1,01,A01
201700000031,1,33,000,00,2,1,02,B01
201700000031,1,07,000,00,0,4,02,A01
201700000032,0,21,000,00,0,6,01,B01
201700000032,0,07,000,00,9,2,01,A01
201700000033,2,07,000,00,1,1,01,A01
201700000034,2,07,000,00,2,3,01,B01
201700000034,1,07,000,00,2,3,01,A01
201700000035,2,07,000,00,2,3,01,A01
201700000035,2,33,000,00,2,3,01,B01
201700000036,0,02,000,00,2,8,23,A01
201700000037,0,07,000,00,2,1,01,B01
201700000037,0,07,000,00,2,5,13,A01
201700000038,1,33,000,08,0,1,01,A01
201700000039,1,07,000,08,0,1,02,A01
201700000040,2,07,000,13,0,1,01,A01
201700000041,0,07,000,00,1,7,01,A01
201700000042,0,07,000,00,9,2,02,A01
201700000042,0,01,000,00,0,0,02,B01
201700000043,2,01,000,00,1,1,01,A01
201700000044,1,33,000,00,2,4,15,A01
