Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201600000001,0,07,000,00,0,1,01,B02
201600000001,0,02,000,00,0,7,15,A01
201600000002,0,07,000,06,0,1,01,A01
201600000003,0,07,000,00,1,6,01,A01
201600000004,0,32,000,00,0,1,01,B02
201600000004,0,07,000,00,0,8,15,A01
201600000005,0,30,000,00,2,1,15,B02
201600000005,0,07,000,00,2,3,01,A01
201600000006,0,07,000,00,1,1,01,A01
201600000007,1,30,000,00,0,3,15,A01
201600000007,1,07,000,00,2,2,17,B02
201600000008,0,07,000,00,2,2,01,B02
201600000008,0,07,000,00,2,3,13,A01
201600000009,0,07,000,00,0,3,01,A01
201600000009,0,30,000,00,0,2,01,B02
201600000010,0,07,000,00,1,2,01,A01
201600000011,0,07,000,00,1,1,01,A01
201600000012,0,33,000,00,0,0,01,A01
201600000013,0,07,000,00,1,2,01,A01
201600000014,0,33,000,00,2,1,13,A01
201600000014,0,33,000,14,0,9,21,B02
201600000014,0,07,000,00,2,3,01,C03
201600000015,0,01,000,00,2,1,00,B02
201600000015,0,01,000,00,2,1,00,C03
201600000015,0,07,000,00,2,3,16,A01
201600000016,0,07,000,00,2,5,10,C03
201600000016,0,07,000,00,2,2,10,B02
201600000016,0,33,000,00,2,2,01,A01
201600000017,0,07,000,02,0,8,01,A01
201600000018,1,07,000,00,2,1,00,A01
201600000018,2,07,000,00,2,3,16,B02
201600000019,0,33,000,00,2,8,23,C03
201600000019,0,07,000,00,2,1,01,B02
201600000019,0,07,000,16,2,3,15,A01
201600000020,2,07,000,00,2,8,05,A01
201600000020,1,07,000,00,2,3,01,B02
201600000021,0,30,000,00,1,1,01,A01
201600000022,0,10,000,00,2,1,19,B02
201600000022,2,07,000,00,2,8,01,A01
201600000023,1,07,000,13,0,1,01,A01
201600000024,2,07,000,13,0,1,01,A01
201600000025,0,07,000,13,0,1,01,A01
201600000026,1,07,000,00,1,1,01,A01
201600000027,0,07,000,00,1,1,01,A01
201600000028,1,07,000,00,2,1,01,B02
201600000028,1,07,000,00,0,8,10,A01
201600000029,1,07,000,06,0,1,01,A01
201600000029,2,07,000,00,9,1,01,B02
201600000030,2,07,000,00,1,2,02,A01
201600000031,1,17,000,00,2,3,17,A01
201600000031,1,21,000,00,0,4,15,B02
201600000032,1,07,000,00,0,4,15,B02
201600000032,1,33,000,00,2,1,01,A01
201600000033,2,07,000,00,1,3,01,A01
201600000034,2,17,000,00,2,3,13,A01
201600000034,1,17,000,00,2,3,01,B02
201600000035,1,07,000,06,0,7,01,A01
201600000036,1,07,000,00,2,6,01,B02
201600000036,2,10,000,00,2,2,13,A01
