Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201100000001,3,39,,,2,02,5,535,0,1,1,000,060,1,0,1,00
201100000002,3,41,,B,2,00,0,700,0,0,0,000,000,0,0,0,00
201100000003,3,39,,,2,02,10,600,0,1,1,000,060,1,0,1,99
201100000004,3,39,,,2,00,8,400,0,1,1,000,058,1,0,1,00
201100000005,3,39,,,2,02,7,450,0,1,1,000,000,1,0,1,03
201100000006,3,39,,,2,00,7,250,0,0,1,000,000,1,0,1,00
201100000007,2,41,,,3,02,4,700,3,1,1,000,070,1,0,1,99
201100000008,3,641,,,2,00,2,300,0,1,1,000,000,1,0,1,99
201100000009,3,145,,,2,02,2,120,0,1,0,000,070,1,5,3,00
201100000010,4,0,,,2,00,0,0,0,0,0,000,000,0,0,0,00
201100000011,3,22,,,2,02,7,300,0,1,2,000,070,1,0,1,99
201100000012,3,145,,,0,01,0,150,0,1,1,000,000,1,0,1,99
201100000013,4,0,,,2,00,0,0,0,1,0,000,000,1,5,4,00
201100000014,2,41,,,2,03,4,480,2,1,1,045,210,1,0,5,00
201100000015,4,0,,,2,02,0,0,0,1,0,000,058,1,6,1,99
201100000016,2,41,,,3,03,4,400,0,1,1,000,069,1,0,1,00
201100000017,3,655,,,2,02,3,487,0,0,1,000,120,2,0,1,00
201100000018,3,655,,,3,02,3,800,0,2,1,022,101,2,0,1,00
201100000019,3,917,,,2,02,22,500,0,1,2,000,066,7,0,3,99
201100000020,4,0,,,2,02,0,0,0,1,1,000,060,1,0,1,99
201100000021,3,54,,,2,02,18,0,0,0,1,000,077,1,0,1,00
201100000022,5,0,,,2,02,0,0,0,1,1,000,060,1,0,1,00
201100000023,3,917,,,2,02,25,650,0,1,1,000,065,2,0,1,00
201100000024,3,955,,,2,02,3,650,0,4,3,000,084,1,0,1,00
201100000025,3,127,,,2,02,4,200,0,0,1,060,060,1,0,1,99
