Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201200000001,3,39,,,2,00,6,875,0,1,1,000,072,1,0,1,00
201200000002,3,41,,,2,02,13,250,0,1,1,000,065,1,0,1,99
201200000003,3,41,,D,2,02,11,500,0,1,3,000,077,1,0,1,00
201200000004,3,947,,,2,02,0,220,0,1,1,000,070,1,0,1,03
201200000005,3,41,,,2,02,9,800,0,1,1,000,068,1,0,1,99
201200000006,4,0,,,2,00,0,0,0,0,1,000,067,1,6,1,03
201200000007,3,641,,,1,02,0,100,1,1,1,000,062,1,0,1,00
201200000008,3,41,,,2,02,9,0,0,1,1,069,000,1,0,1,99
201200000009,2,47,,,3,00,0,650,0,2,1,000,000,1,0,1,00
201200000010,3,22,,,2,00,16,140,0,1,3,000,060,1,0,4,00
201200000011,3,145,,,2,02,5,0,0,1,1,000,000,1,0,1,00
201200000012,3,641,,,2,02,1,640,1,1,1,000,090,1,5,1,99
201200000013,3,641,,,1,01,0,100,0,1,1,000,040,1,0,1,99
201200000014,4,0,,,0,00,0,0,0,1,1,000,060,1,0,1,99
201200000015,2,41,,,3,04,8,300,0,0,1,010,120,1,0,1,00
201200000016,3,549,,,2,02,11,500,0,1,1,000,120,1,0,1,00
201200000017,3,549,,,2,02,13,0,2,1,1,000,037,1,0,1,99
201200000018,3,19,,,2,02,6,770,0,1,2,000,070,1,0,4,99
201200000019,3,549,,,2,02,20,400,0,1,1,000,000,1,0,1,99
201200000020,3,145,,,2,01,25,675,0,1,2,000,000,2,0,1,00
201200000021,4,0,,,0,01,0,0,0,1,3,000,060,1,0,1,00
201200000022,3,145,,,2,01,28,550,0,1,1,060,060,2,0,0,00
201200000023,4,1,,,2,00,0,0,0,0,1,000,060,2,0,1,99
201200000024,3,128,,,2,02,0,950,0,1,3,000,053,1,0,1,00
201200000025,3,354,,,2,02,0,600,0,1,1,070,070,1,0,1,99
201200000026,3,354,,,2,02,0,650,0,1,1,000,078,1,0,1,00
201200000027,3,354,,,2,02,0,600,0,1,1,000,070,1,5,1,00
201200000028,3,120,,,2,02,8,300,0,1,1,000,056,1,0,1,00
201200000029,3,54,,A,2,02,0,650,0,1,1,000,063,1,0,1,00
201200000030,3,120,,,2,00,9,500,0,2,3,000,067,1,0,3,99
201200000031,3,54,,,2,00,1,450,0,1,2,000,060,2,0,4,00
201200000032,3,54,,,2,02,4,800,0,1,1,000,000,1,0,1,99
201200000033,3,954,,,0,02,8,475,0,1,1,000,058,2,0,1,00
201200000034,4,0,,,2,01,0,0,0,0,1,035,035,1,0,1,00
201200000035,3,17,,,2,02,8,100,0,1,3,000,050,1,0,3,00
201200000036,3,17,,,2,02,3,800,0,1,1,000,031,1,0,1,00
201200000037,4,0,,,2,02,0,0,0,0,3,000,035,2,0,0,99
201200000038,3,326,,,2,02,3,50,0,2,2,000,051,1,0,3,99
201200000039,4,0,,,0,02,0,0,0,1,1,030,030,1,0,1,00
201200000040,3,300,,,2,02,14,450,0,1,1,000,071,1,0,1,99
201200000041,4,0,,,1,00,0,0,0,0,1,030,000,1,0,1,99
201200000042,3,1,,,3,00,18,675,0,1,2,002,068,1,0,1,99
201200000043,3,18,,,2,02,0,500,0,1,3,000,064,1,0,1,00
201200000044,3,55,,,0,02,16,220,0,0,1,000,055,1,0,1,00
201200000045,3,17,,,2,02,34,960,0,1,1,000,062,1,0,1,00
201200000046,3,17,,,2,00,35,420,0,0,3,000,062,1,0,1,99
201200000047,3,11,,,2,02,21,700,0,1,1,063,000,1,0,1,00
201200000048,3,916,,,2,02,28,700,2,1,1,000,068,1,0,1,00
201200000049,3,46,,,2,00,15,380,0,1,1,000,060,1,0,1,00
201200000050,3,438,,,2,00,4,300,0,1,2,000,000,1,0,3,00
201200000051,3,642,,,2,00,19,375,0,0,1,000,080,2,0,1,00
201200000052,3,161,,,2,02,5,200,1,1,1,000,062,1,0,1,00
201200000053,3,933,,,2,02,36,250,0,1,1,000,095,1,0,1,00
201200000054,3,933,,,2,02,38,250,0,1,1,000,067,1,0,1,99
201200000055,3,642,,,2,00,19,50,0,2,1,000,077,1,0,1,00
201200000056,3,122,,,2,02,1,597,0,1,1,000,081,1,0,3,00
201200000057,3,916,,,0,02,9,900,1,2,1,000,075,0,0,1,99
201200000058,3,916,,,2,02,6,500,0,1,1,000,070,2,0,3,00
201200000059,3,642,,,2,02,2,400,0,1,1,079,000,1,0,3,00
201200000060,3,223,,,2,02,1,800,0,2,1,000,064,1,0,1,99
201200000061,3,944,,,3,02,1,970,0,2,1,010,140,2,0,1,00
201200000062,3,948,,,2,02,12,300,0,1,3,000,100,1,0,1,00
201200000063,3,122,,D,3,02,0,800,0,1,1,000,051,2,6,1,00
201200000064,3,38,,,2,02,10,675,0,1,2,000,070,2,0,3,00
201200000065,3,2122,,,2,00,21,500,0,1,3,000,070,1,0,0,00
201200000066,3,10,,,2,02,17,200,0,2,1,000,067,1,0,1,00
201200000067,3,122,,,2,00,28,0,0,1,3,000,060,1,0,1,99
201200000068,3,38,,,2,02,13,450,0,1,1,000,057,1,0,3,00
201200000069,3,947,,,2,00,1,250,0,1,1,000,072,6,0,3,99
201200000070,3,18,,,2,00,34,700,0,1,3,000,000,3,0,1,00
201200000071,4,0,,,2,02,0,0,0,1,1,000,078,1,0,1,99
201200000072,3,947,,,2,02,5,800,0,0,1,000,070,2,0,1,00
201200000073,3,947,,,2,02,3,980,0,1,1,000,000,1,6,1,03
201200000074,4,0,,,2,02,0,0,0,0,1,000,055,0,0,1,00
201200000075,3,122,,,2,02,15,650,0,0,1,000,050,1,0,1,99
201200000076,4,0,,,2,02,0,0,0,1,1,000,033,2,0,1,99
201200000077,3,38,,,2,01,4,625,1,1,1,000,080,1,0,1,99
201200000078,3,122,,C,2,00,0,200,0,1,1,000,070,1,0,1,00
201200000079,3,916,,,2,02,18,250,0,1,1,000,070,1,0,1,99
201200000080,4,0,,,2,02,0,0,0,1,1,000,050,1,0,1,00
201200000081,6,0,,,1,01,0,0,0,1,1,000,000,1,0,1,03
201200000082,3,947,,,2,02,33,555,0,1,1,000,070,1,0,1,99
201200000083,3,933,,,2,00,43,60,0,1,2,050,070,1,0,1,99
201200000084,3,916,,,2,02,22,277,0,1,1,050,080,2,0,1,99
201200000085,3,55,,,2,00,28,700,0,1,1,050,080,1,0,1,99
201200000086,4,0,,,2,02,0,0,0,1,1,000,000,1,0,1,00
201200000087,3,90,,,2,02,7,130,2,1,1,000,100,2,2,5,00
