Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201600000001,3,39,,,2,00,,,0,1,3,000,000,1,0,1,00
201600000002,3,39,,,1,00,,,0,1,2,000,058,1,0,1,00
201600000003,3,1,,,2,02,,,0,1,3,000,068,2,0,3,99
201600000004,4,0,,,2,00,,,0,1,1,000,000,1,0,1,99
201600000005,4,0,,,0,00,,,0,0,1,000,000,1,0,1,03
201600000006,3,41,,,2,00,,,0,1,1,000,000,1,0,1,99
201600000007,3,1,,,2,00,,,0,1,1,070,000,1,0,1,99
201600000008,3,2,,D,2,02,,,0,1,1,000,070,1,0,1,00
201600000009,4,0,,,2,02,,,0,1,0,000,000,1,0,1,99
201600000010,4,0,,A,2,00,,,0,0,1,000,044,7,0,1,00
201600000011,3,549,,,2,02,,,0,1,1,000,090,2,0,1,99
201600000012,3,1,,,2,02,,,0,0,1,000,000,1,0,0,00
201600000013,3,917,,,2,00,,,0,0,0,000,000,0,0,0,00
201600000014,3,917,,,2,02,,,0,0,4,000,000,1,0,1,99
201600000015,3,549,,,1,01,,,0,1,0,000,093,1,5,1,99
201600000016,4,0,,,2,02,,,0,1,2,000,000,1,0,1,00
201600000017,3,917,,,2,00,,,0,1,2,120,120,6,0,1,00
201600000018,3,917,,,2,00,,,0,1,1,020,140,1,0,1,00
201600000019,3,8,,D,3,02,,,0,1,1,000,124,1,5,1,99
201600000020,3,354,,,3,02,,,0,1,0,046,115,2,5,1,00
201600000021,3,954,,,2,02,,,0,1,1,000,000,1,0,1,00
201600000022,3,226,,,2,02,3,100,0,2,1,000,073,1,0,0,00
201600000023,3,1,,,2,02,3,500,0,1,2,060,000,2,0,3,99
201600000024,3,11,,,2,00,6,400,0,1,3,000,090,1,0,3,99
201600000025,4,7,,,2,02,,,0,1,4,000,033,7,0,0,00
201600000026,4,0,,,2,02,,,0,0,1,000,050,1,6,1,03
201600000027,9,0,,,2,00,,,0,1,1,000,080,1,0,1,03
201600000028,3,131,,,2,02,4,700,0,1,1,000,065,1,0,1,99
201600000029,3,3,,,2,02,3,500,0,1,1,060,060,1,0,1,00
201600000030,3,2,,,2,00,,,0,1,1,000,060,1,0,4,00
201600000031,3,916,,,2,02,24,0,0,1,1,000,065,1,0,1,99
201600000032,3,52,,,2,00,,,0,1,1,000,060,1,0,1,99
201600000033,3,161,,,2,01,,,0,0,1,000,061,2,0,1,99
201600000034,3,916,,,2,00,4,800,0,1,1,000,064,1,0,1,99
201600000035,3,916,,,2,02,9,500,2,1,1,000,075,2,0,1,99
201600000036,3,55,,,2,00,,,0,2,1,000,055,2,0,1,99
201600000037,3,642,,,2,02,,,0,1,3,080,000,1,0,1,99
201600000038,3,943,2,,2,02,,,0,1,1,000,074,1,0,1,00
201600000039,3,943,2,D,2,02,6,800,0,2,1,000,065,1,5,4,99
201600000040,3,642,,,2,02,,,0,1,2,000,060,1,0,4,00
201600000041,3,642,,,2,00,0,100,0,1,1,000,071,1,0,1,00
201600000042,3,933,,,2,02,49,1237,0,1,1,000,000,1,0,1,00
