Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201300000001,0,07,000,00,0,6,10,A01
201300000001,0,31,000,00,2,1,01,B02
201300000002,0,33,000,00,0,8,11,A01
201300000003,0,07,000,00,0,0,17,A01
201300000003,0,33,000,00,2,9,17,B02
201300000004,0,07,000,00,0,1,01,A01
201300000005,0,07,000,00,1,7,19,A01
201300000006,0,07,000,00,2,8,13,B02
201300000006,0,33,000,00,2,7,17,A01
201300000007,0,15,000,00,0,0,09,A01
201300000008,0,30,000,08,0,0,14,A01
201300000009,0,33,000,00,2,2,01,A01
201300000009,0,07,000,00,2,6,17,B02
201300000010,0,33,000,12,0,3,01,A01
201300000011,0,07,000,00,1,1,01,A01
201300000012,0,07,000,13,0,2,01,A01
201300000013,0,33,000,00,2,1,17,B02
201300000013,0,07,000,00,2,6,13,A01
201300000014,0,33,000,00,2,1,17,B02
201300000014,0,10,000,00,2,3,13,A01
201300000015,0,02,000,00,0,0,01,A01
201300000016,0,07,000,00,2,3,10,A01
201300000016,0,30,000,00,2,2,17,B02
201300000017,0,31,000,00,0,1,17,A01
201300000017,0,07,000,00,0,1,15,B02
201300000018,0,07,000,13,0,3,17,A01
201300000019,0,07,000,06,0,1,01,A01
201300000020,0,30,000,00,2,1,01,B02
201300000020,0,07,000,00,2,2,15,A01
201300000020,0,07,000,00,2,8,24,C03
201300000021,0,30,000,08,0,1,01,A01
201300000022,0,30,000,12,0,1,01,A01
201300000023,0,07,000,13,0,1,02,A01
201300000024,0,07,000,00,2,3,19,B02
201300000024,0,07,000,00,2,2,01,A01
201300000025,0,33,000,13,0,0,00,A01
201300000026,0,01,000,12,0,1,00,A01
201300000027,0,33,000,00,2,1,01,B02
201300000027,0,10,000,00,2,3,15,A01
201300000028,0,07,000,00,2,1,02,A01
201300000028,0,07,000,00,2,4,23,B02
201300000028,0,07,000,00,2,4,23,C03
201300000029,0,07,000,00,1,3,01,A01
201300000030,0,07,000,02,0,3,19,A01
201300000031,0,07,000,00,2,6,02,B02
201300000031,0,07,000,00,2,2,17,A01
201300000032,0,07,000,13,0,3,13,A01
201300000033,0,16,000,00,2,3,13,A01
201300000033,0,07,000,00,2,1,01,B02
201300000034,0,07,000,00,0,1,01,A01
201300000035,0,13,000,13,0,3,13,A01
201300000036,0,07,000,00,0,0,01,A01
201300000037,0,10,000,00,2,3,13,A01
201300000037,0,33,000,00,2,1,01,B02
201300000037,0,07,000,00,2,6,01,C03
201300000038,0,07,000,00,2,3,01,A01
201300000038,0,07,000,00,2,3,01,B02
201300000039,0,30,000,00,2,6,02,A01
201300000039,0,07,000,00,2,2,02,B02
201300000040,0,07,000,00,2,1,01,B02
201300000040,0,07,000,00,2,8,15,A01
201300000041,0,30,000,00,2,8,01,B02
201300000041,0,14,000,00,2,3,15,A01
201300000042,0,02,000,00,2,2,17,A01
201300000042,0,07,000,00,2,3,15,B02
201300000043,0,07,000,00,0,1,01,A01
201300000044,0,10,000,00,2,9,01,B02
201300000044,0,10,000,00,2,1,01,C03
201300000044,0,10,000,00,2,1,01,D04
201300000044,0,10,000,00,0,4,16,A01
201300000045,0,10,000,00,2,1,15,B02
201300000045,0,07,000,00,2,2,01,A01
201300000046,0,07,000,00,2,3,19,B02
201300000046,0,31,000,00,2,1,01,A01
201300000047,0,02,000,00,2,1,01,B02
201300000047,0,07,000,00,2,1,13,A01
201300000048,0,33,000,02,0,0,17,A01
201300000049,0,07,000,00,2,1,01,B02
201300000049,0,07,000,00,2,7,01,A01
201300000050,0,01,000,00,2,1,21,B02
201300000050,0,30,000,12,2,1,14,A01
201300000051,0,07,000,00,1,2,01,A01
201300000052,0,07,000,06,0,4,01,A01
201300000053,0,07,000,02,0,7,14,A01
201300000054,0,07,000,13,0,1,01,A01
201300000055,0,07,000,00,1,1,21,A01
201300000056,0,01,000,00,0,1,01,A01
201300000057,0,32,000,00,0,1,01,A01
201300000058,0,07,000,01,0,1,01,A01
201300000059,0,33,000,00,0,0,01,A01
201300000060,0,33,000,00,2,1,01,B02
201300000060,0,07,000,00,2,8,15,A01
201300000061,0,07,000,16,0,1,01,A01
201300000062,0,07,000,00,2,3,15,B02
201300000062,0,33,000,00,2,1,17,A01
201300000063,0,07,000,06,0,1,01,A01
201300000064,0,33,000,01,0,1,01,A01
201300000064,0,07,000,00,9,1,01,B02
201300000065,0,30,000,01,0,1,02,A01
201300000066,0,07,000,00,2,3,17,B02
201300000066,0,07,000,00,2,3,01,A01
201300000067,0,02,000,00,2,1,01,B02
201300000067,0,07,000,00,2,3,15,A01
201300000068,0,01,000,00,2,8,00,B02
201300000068,0,07,000,00,2,1,01,A01
201300000069,0,33,000,00,0,0,01,A01
201300000070,0,33,000,13,0,1,16,A01
201300000071,0,33,000,00,2,1,01,A01
201300000071,0,10,000,00,2,3,11,B02
201300000072,0,33,000,13,0,1,01,A01
201300000073,0,33,000,00,2,1,13,A01
201300000073,0,07,000,00,2,1,01,B02
201300000074,0,02,000,00,2,1,01,B02
201300000074,0,07,000,00,2,3,15,A01
201300000075,0,07,000,00,2,3,09,A01
201300000075,0,32,000,00,2,1,03,B02
201300000076,0,10,000,13,0,1,13,A01
201300000077,0,07,000,00,2,1,01,B02
201300000077,0,30,000,00,2,1,13,A01
201300000078,0,07,000,00,2,7,01,A01
201300000078,0,07,000,00,2,1,01,B02
201300000079,0,07,000,16,2,1,13,A01
201300000080,0,07,000,00,2,7,13,A01
201300000080,0,10,000,00,2,1,01,B02
201300000081,0,07,000,00,2,2,15,A01
201300000081,0,07,000,00,2,1,01,B02
201300000082,0,33,000,16,2,0,17,A01
201300000082,0,07,000,00,0,6,17,B02
201300000083,0,07,000,00,2,1,01,B02
201300000083,0,07,000,00,2,5,19,A01
201300000084,0,15,000,00,2,3,01,B02
201300000084,0,07,000,00,2,3,13,A01
201300000085,0,01,000,00,2,7,01,B02
201300000085,0,07,000,00,2,4,20,A01
201300000086,0,07,000,15,0,1,16,A01
201300000087,0,07,000,00,0,6,15,A01
201300000087,0,07,000,00,2,1,01,B02
